defined_class	label	human_label	parent	location	location_label	xrefs	fma_xref	taxon	synonym	synonym_xrefs
VCCF:1000000	left atrium	left atrium (Human)	UBERON:0004151	UBERON:0004151	heart chamber	wikipedia:Heart	FMA:7097	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000001	left inferior pulmonary vein	left inferior pulmonary vein (Human)	UBERON:0001638	UBERON:0002048	lung	wikipedia:Pulmonary_vein	FMA:49913	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000002	left superior pulmonary vein	left superior pulmonary vein (Human)	UBERON:0001638	UBERON:0002048	lung	wikipedia:Pulmonary_vein	FMA:49916	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000003	pulmonary vein	pulmonary vein (Human)	UBERON:0001638	UBERON:0002048	lung	https://radiologykey.com/6-pulmonary-artery-and-vein/	FMA:66643	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000004	intersegmental pulmonary vein	intersegmental pulmonary vein (Human)	UBERON:0001638	UBERON:0002048	lung	https://radiologykey.com/6-pulmonary-artery-and-vein/	FMA:76965	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000005	subsegmental pulmonary vein	subsegmental pulmonary vein (Human)	UBERON:0001638	UBERON:0002048	lung	https://radiologykey.com/6-pulmonary-artery-and-vein/	FMA:9413	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000006	pulmonary venule	pulmonary venule (Human)	UBERON:0001979	UBERON:0002048	lung	https://radiologykey.com/6-pulmonary-artery-and-vein/		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000007	bronchial capillary	bronchial capillary (Human)	UBERON:0001982	UBERON:0002048	lung	wikipedia:Bronchial_artery		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000008	intra-acinar venule	intra-acinar venule (Human)	UBERON:0001979	UBERON:0002048	lung	PMID:20110543		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000009	post-alveolar capillary	post-alveolar capillary (Human)	UBERON:0001982	UBERON:0002048	lung	PMID:20110543		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000010	right inferior pulmonary vein	right inferior pulmonary vein (Human)	UBERON:0001638	UBERON:0002048	lung	wikipedia:Pulmonary_vein	FMA:49911	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000011	right superior pulmonary vein	right superior pulmonary vein (Human)	UBERON:0001638	UBERON:0002048	lung	wikipedia:Pulmonary_vein	FMA:49914	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000012	left ventricle	left ventricle (Human)	UBERON:0004151	UBERON:0004151	heart chamber	wikipedia:Heart	FMA:7101	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000013	aorta	aorta (Human)	UBERON:0001637	UBERON:0003684;UBERON:0002224	abdominal cavity;thoracic cavity	wikipedia:Aorta	FMA:3734	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000014	ascending aorta	ascending aorta (Human)	UBERON:0001637	UBERON:0002224	thoracic cavity	wikipedia:Ascending_aorta	FMA:3736	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000015	aortic arch	aortic arch (Human)	UBERON:0001637	UBERON:0002224	thoracic cavity	wikipedia:Aortic_arch	FMA:3768	http://purl.obolibrary.org/obo/NCBITaxon_9606	arch of aorta	FMA:3768
VCCF:1000016	brachiocephalic artery	brachiocephalic artery (Human)	UBERON:0001637	UBERON:0002224	thoracic cavity	wikipedia:Brachiocephalic_artery	FMA:3932	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000017	right common carotid artery	right common carotid artery (Human)	UBERON:0001637	UBERON:0000974	neck	wikipedia:Common_carotid_artery	FMA:3941	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000018	right subclavian artery	right subclavian artery (Human)	UBERON:0001637	UBERON:0002224	thoracic cavity	wikipedia:Subclavian_artery	FMA:3953	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000019	common carotid artery	common carotid artery (Human)	UBERON:0001637	UBERON:0000974	neck	wikipedia:Common_carotid_artery	FMA:3939	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000020	external carotid artery	external carotid artery (Human)	UBERON:0001637	UBERON:0000974	neck	wikipedia:External_carotid_artery	FMA:10635	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000021	ascending pharyngeal artery	ascending pharyngeal artery (Human)	UBERON:0001637	UBERON:0000974	neck	wikipedia:Ascending_pharyngeal_artery	FMA:49497	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000022	inferior tympanic artery	inferior tympanic artery (Human)	UBERON:0001637	UBERON:0001690	ear	wikipedia:Inferior_tympanic_artery	FMA:49506	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000023	neuromeningeal trunk	neuromeningeal trunk (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Ascending_pharyngeal_artery		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000024	hypoglossal branch of ascending pharyngeal artery	hypoglossal branch of ascending pharyngeal artery (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Ascending_pharyngeal_artery		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000025	jugular branch of ascending pharyngeal artery	jugular branch of ascending pharyngeal artery (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Ascending_pharyngeal_artery		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000026	odontoid arcade	odontoid arcade (Human)	UBERON:0001637	UBERON:0000033	head	https://neupsykey.com/the-external-carotid-artery-and-extracranial-circulation/		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000027	posterior meningeal artery	posterior meningeal artery (Human)	UBERON:0001637	UBERON:0000033	head	http://neuroangio.org/anatomy-and-variants/posterior-meningeal-artery/	FMA:49503	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000028	pharyngeal trunk	pharyngeal trunk (Human)	UBERON:0001637	UBERON:0000974	neck	wikipedia:Ascending_pharyngeal_artery		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000029	eustachian branch of ascending pharyngeal artery	eustachian branch of ascending pharyngeal artery (Human)	UBERON:0001637	UBERON:0000974	neck	http://www.ajnr.org/content/23/7/1246		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000030	inferior pharyngeal artery	inferior pharyngeal artery (Human)	UBERON:0001637	UBERON:0000974	neck	http://www.ajnr.org/content/23/7/1246		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000031	middle pharyngeal artery	middle pharyngeal artery (Human)	UBERON:0001637	UBERON:0000974	neck	http://www.ajnr.org/content/23/7/1246		http://purl.obolibrary.org/obo/NCBITaxon_9606		
